CIRC;CANTON;BUREAU;INSCRITS;VOTANTS;%;NULS;%;EXPRIMES;%;ABSTENTIONS;%;Lutte Ouvrière;%;Toulouse Autrement;%;Toulouse Pour Tous, osons aller plus loin ensemble;%;Toulouse Rassemblée;%;Debout ! Ensemble, la gauche qui ne renonce pas;%;100% Pour Toulouse;%;L'autre Liste;%;Pour la renationalisation d'Airbus, pour la laïcité, contre les directives de l'union européenne;%
3;10;151;876;547;98.72;7;98.72;540;98.72;329;98.72;2;98.72;21;98.72;203;98.72;231;98.72;36;98.72;1;98.72;43;98.72;3;98.72
3;10;159;1126;670;98.36;11;98.36;659;98.36;456;98.36;6;98.36;36;98.36;252;98.36;297;98.36;37;98.36;3;98.36;27;98.36;1;98.36
4;3;039A;876;526;98.1;10;98.1;516;98.1;350;98.1;5;98.1;29;98.1;186;98.1;207;98.1;35;98.1;6;98.1;47;98.1;1;98.1
4;11;166;1132;708;98.02;14;98.02;694;98.02;424;98.02;2;98.02;35;98.02;267;98.02;283;98.02;50;98.02;8;98.02;45;98.02;4;98.02
4;11;181;957;433;97.46;11;97.46;422;97.46;524;97.46;5;97.46;19;97.46;171;97.46;175;97.46;21;97.46;3;97.46;26;97.46;2;97.46
5;13;203;1340;747;98.26;13;98.26;734;98.26;593;98.26;11;98.26;48;98.26;352;98.26;266;98.26;37;98.26;2;98.26;13;98.26;5;98.26
5;13;204;1068;621;97.91;13;97.91;608;97.91;447;97.91;8;97.91;35;97.91;217;97.91;275;97.91;34;97.91;3;97.91;33;97.91;3;97.91
6;12;192;758;390;96.41;14;96.41;376;96.41;368;96.41;6;96.41;14;96.41;143;96.41;170;96.41;24;96.41;7;96.41;9;96.41;3;96.41
1;1;15;926;548;98.18;10;98.18;538;98.18;378;98.18;4;98.18;25;98.18;233;98.18;207;98.18;33;98.18;1;98.18;34;98.18;1;98.18
2;8;122;1010;661;98.79;8;98.79;653;98.79;349;98.79;4;98.79;70;98.79;415;98.79;134;98.79;12;98.79;2;98.79;16;98.79;0;98.79
2;15;217;1185;656;96.95;20;96.95;636;96.95;529;96.95;4;96.95;47;96.95;218;96.95;270;96.95;48;96.95;9;96.95;35;96.95;5;96.95
3;9;137;998;652;98.62;9;98.62;643;98.62;346;98.62;2;98.62;45;98.62;331;98.62;229;98.62;18;98.62;2;98.62;14;98.62;2;98.62
3;10;154;828;362;96.69;12;96.69;350;96.69;466;96.69;5;96.69;11;96.69;129;96.69;164;96.69;16;96.69;6;96.69;14;96.69;5;96.69
3;10;165;949;576;98.96;6;98.96;570;98.96;373;98.96;4;98.96;34;98.96;217;98.96;252;98.96;29;98.96;5;98.96;27;98.96;2;98.96
4;2;29;1098;590;98.14;11;98.14;579;98.14;508;98.14;1;98.14;35;98.14;276;98.14;203;98.14;30;98.14;2;98.14;31;98.14;1;98.14
4;11;174;1116;573;98.78;7;98.78;566;98.78;543;98.78;8;98.78;36;98.78;210;98.78;244;98.78;29;98.78;5;98.78;34;98.78;0;98.78
4;11;183;916;611;98.85;7;98.85;604;98.85;305;98.85;2;98.85;48;98.85;324;98.85;181;98.85;16;98.85;3;98.85;25;98.85;5;98.85
5;14;206;1120;620;98.87;7;98.87;613;98.87;500;98.87;7;98.87;28;98.87;265;98.87;246;98.87;36;98.87;6;98.87;22;98.87;3;98.87
6;12;190;1013;406;98.52;6;98.52;400;98.52;607;98.52;9;98.52;23;98.52;115;98.52;183;98.52;28;98.52;11;98.52;29;98.52;2;98.52
1;5;85;907;472;98.52;7;98.52;465;98.52;435;98.52;5;98.52;38;98.52;184;98.52;165;98.52;37;98.52;4;98.52;31;98.52;1;98.52
1;7;113;1031;512;98.24;9;98.24;503;98.24;519;98.24;4;98.24;27;98.24;166;98.24;256;98.24;31;98.24;1;98.24;16;98.24;2;98.24
2;6;88;1113;615;98.21;11;98.21;604;98.21;498;98.21;5;98.21;41;98.21;213;98.21;267;98.21;34;98.21;1;98.21;39;98.21;4;98.21
2;6;95;1030;559;96.96;17;96.96;542;96.96;471;96.96;4;96.96;34;96.96;206;96.96;232;96.96;38;96.96;6;96.96;19;96.96;3;96.96
