BV;LE RASSEMBLEMENT CITOYEN;L'ALTERNATIVE RESPONSABLE;TOULOUSE EN MARCHE !;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;A TOULOUSE, PLACE AU PEUPLE - FRONT DE GAUCHE;"""AIMER TOULOUSE""";TOULOUSE VERT DEMAIN EUROPE ECOLOGIE LES VERTS PARTI PIRATE MIDI-PYRENEES;AVEC VOUS, TOULOUSE AVANCE !;TOULOUSE BLEU MARINE;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00106;16.0;3.0;12.0;144.0;3.0;35.0;12.0;13.0;165.0;62.0;2.0;7.0;962.0;481.0;17.0;465.0;481.0
00120;10.0;18.0;3.0;312.0;6.0;17.0;15.0;30.0;139.0;42.0;3.0;8.0;1058.0;610.0;18.0;592.0;448.0
00145;10.0;7.0;10.0;213.0;3.0;27.0;5.0;32.0;194.0;34.0;7.0;9.0;1015.0;549.0;14.0;535.0;466.0
00149;13.0;11.0;11.0;186.0;5.0;48.0;6.0;55.0;219.0;56.0;7.0;10.0;1123.0;622.0;12.0;610.0;501.0
0201B;10.0;14.0;4.0;278.0;3.0;20.0;19.0;32.0;132.0;49.0;4.0;12.0;1032.0;580.0;19.0;561.0;452.0
00206;4.0;13.0;7.0;181.0;4.0;26.0;19.0;33.0;191.0;51.0;1.0;14.0;1087.0;549.0;20.0;529.0;538.0
00055;23.0;16.0;8.0;199.0;2.0;36.0;11.0;57.0;212.0;36.0;1.0;4.0;1082.0;614.0;14.0;600.0;468.0
00083;11.0;19.0;13.0;294.0;2.0;31.0;11.0;46.0;230.0;45.0;1.0;5.0;1176.0;712.0;10.0;702.0;464.0
00136;14.0;8.0;5.0;234.0;2.0;18.0;3.0;24.0;113.0;21.0;3.0;9.0;730.0;449.0;8.0;442.0;281.0
00158;25.0;4.0;6.0;191.0;5.0;43.0;15.0;42.0;254.0;39.0;7.0;10.0;1155.0;634.0;10.0;624.0;521.0
00162;16.0;7.0;10.0;176.0;3.0;40.0;8.0;36.0;196.0;30.0;7.0;10.0;1033.0;534.0;12.0;522.0;499.0
00170;8.0;10.0;9.0;165.0;4.0;24.0;5.0;17.0;148.0;48.0;7.0;11.0;819.0;446.0;8.0;438.0;373.0
00172;8.0;19.0;2.0;246.0;2.0;21.0;6.0;31.0;144.0;43.0;7.0;11.0;870.0;533.0;11.0;522.0;337.0
00222;12.0;11.0;16.0;227.0;6.0;36.0;23.0;36.0;206.0;71.0;2.0;15.0;1321.0;665.0;21.0;644.0;656.0
00007;12.0;12.0;5.0;162.0;2.0;22.0;5.0;55.0;146.0;20.0;4.0;1.0;928.0;450.0;9.0;441.0;478.0
00011;19.0;22.0;3.0;282.0;2.0;36.0;8.0;49.0;158.0;41.0;4.0;1.0;1115.0;633.0;14.0;620.0;482.0
00021;17.0;26.0;7.0;300.0;1.0;14.0;11.0;33.0;108.0;32.0;3.0;2.0;944.0;561.0;12.0;549.0;383.0
00053;10.0;19.0;8.0;185.0;7.0;23.0;14.0;43.0;210.0;37.0;1.0;4.0;1067.0;569.0;13.0;556.0;498.0
00122;18.0;17.0;1.0;394.0;0.0;12.0;11.0;26.0;113.0;40.0;3.0;8.0;1038.0;637.0;5.0;632.0;401.0
00124;10.0;7.0;2.0;355.0;1.0;22.0;9.0;30.0;155.0;43.0;3.0;8.0;1082.0;650.0;16.0;634.0;432.0
00129;10.0;6.0;5.0;181.0;3.0;24.0;8.0;24.0;160.0;46.0;3.0;8.0;990.0;483.0;16.0;467.0;507.0
00134;11.0;7.0;1.0;297.0;2.0;12.0;13.0;18.0;109.0;36.0;3.0;9.0;875.0;516.0;10.0;506.0;359.0
00135;13.0;3.0;5.0;329.0;0.0;16.0;15.0;36.0;176.0;37.0;3.0;9.0;1027.0;636.0;7.0;630.0;391.0
00175;4.0;3.0;29.0;109.0;1.0;17.0;2.0;10.0;109.0;25.0;7.0;11.0;995.0;320.0;11.0;309.0;675.0
00177;4.0;1.0;17.0;171.0;1.0;15.0;9.0;24.0;145.0;28.0;7.0;11.0;1084.0;439.0;24.0;415.0;645.0
00193;2.0;1.0;15.0;100.0;4.0;12.0;2.0;10.0;88.0;30.0;4.0;12.0;650.0;268.0;4.0;264.0;382.0
00199;4.0;4.0;6.0;121.0;0.0;5.0;5.0;4.0;62.0;37.0;4.0;12.0;503.0;252.0;4.0;248.0;251.0
00213;17.0;22.0;11.0;216.0;4.0;34.0;9.0;37.0;150.0;66.0;2.0;15.0;1101.0;583.0;17.0;566.0;518.0
00219;18.0;13.0;16.0;210.0;5.0;26.0;14.0;35.0;201.0;66.0;2.0;15.0;1138.0;614.0;10.0;604.0;524.0
00012;10.0;13.0;7.0;258.0;2.0;17.0;7.0;33.0;179.0;70.0;4.0;1.0;1116.0;608.0;12.0;596.0;508.0
00031;12.0;23.0;3.0;331.0;0.0;13.0;9.0;23.0;115.0;24.0;3.0;2.0;1020.0;561.0;8.0;553.0;459.0
00036;10.0;13.0;12.0;164.0;4.0;24.0;15.0;26.0;128.0;25.0;4.0;3.0;806.0;435.0;14.0;421.0;371.0
00046;26.0;12.0;5.0;185.0;1.0;30.0;8.0;23.0;214.0;43.0;4.0;3.0;986.0;558.0;11.0;547.0;428.0
00081;12.0;18.0;6.0;136.0;4.0;33.0;9.0;41.0;185.0;39.0;1.0;5.0;1177.0;499.0;16.0;483.0;678.0
