BV;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;RASSEMBLEE, TOULOUSE AVANCE !;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00042;283.0;241.0;4.0;3.0;962.0;552.0;28.0;524.0;410.0
00084;319.0;366.0;1.0;5.0;1173.0;703.0;18.0;685.0;470.0
00100;174.0;341.0;2.0;7.0;1027.0;543.0;28.0;515.0;484.0
00123;341.0;295.0;3.0;8.0;1134.0;652.0;16.0;636.0;482.0
00190;140.0;151.0;4.0;12.0;1008.0;309.0;18.0;291.0;699.0
00004;444.0;169.0;4.0;1.0;956.0;627.0;14.0;613.0;329.0
00007;243.0;258.0;4.0;1.0;928.0;509.0;10.0;501.0;419.0
00009;296.0;274.0;4.0;1.0;941.0;589.0;19.0;570.0;352.0
00031;440.0;192.0;3.0;2.0;1020.0;644.0;12.0;632.0;376.0
00047;261.0;350.0;4.0;3.0;1034.0;636.0;25.0;611.0;398.0
00053;286.0;322.0;1.0;4.0;1067.0;629.0;21.0;608.0;438.0
0056A;240.0;254.0;1.0;4.0;894.0;514.0;20.0;494.0;380.0
00080;277.0;323.0;1.0;5.0;1173.0;619.0;20.0;600.0;554.0
0093A;292.0;379.0;2.0;6.0;1276.0;695.0;24.0;671.0;581.0
00155;106.0;186.0;7.0;10.0;726.0;303.0;11.0;292.0;423.0
0165A;361.0;290.0;7.0;10.0;982.0;674.0;23.0;651.0;308.0
00180;144.0;169.0;7.0;11.0;755.0;327.0;15.0;313.0;428.0
0201A;554.0;214.0;4.0;12.0;1154.0;795.0;27.0;768.0;359.0
00109;390.0;259.0;2.0;7.0;1098.0;671.0;22.0;649.0;427.0
00151;243.0;355.0;7.0;10.0;983.0;609.0;11.0;598.0;374.0
00163;233.0;254.0;7.0;10.0;1016.0;502.0;15.0;487.0;514.0
00167;249.0;314.0;7.0;11.0;995.0;578.0;15.0;563.0;417.0
0195A;289.0;235.0;4.0;12.0;1090.0;554.0;30.0;524.0;536.0
00201;494.0;169.0;4.0;12.0;1015.0;688.0;24.0;663.0;327.0
0211A;369.0;291.0;1.0;14.0;1286.0;699.0;39.0;660.0;587.0
00218;394.0;330.0;2.0;15.0;1264.0;749.0;21.0;724.0;515.0
00219;347.0;317.0;2.0;15.0;1138.0;690.0;26.0;664.0;448.0
00220;387.0;319.0;2.0;15.0;1242.0;734.0;28.0;706.0;508.0
00225;241.0;229.0;2.0;15.0;838.0;493.0;23.0;470.0;345.0
0010A;253.0;283.0;4.0;1.0;1006.0;559.0;23.0;536.0;447.0
00064;292.0;412.0;1.0;4.0;1233.0;727.0;23.0;704.0;506.0
00165;332.0;483.0;7.0;10.0;1463.0;840.0;25.0;815.0;623.0
00179;171.0;196.0;7.0;11.0;709.0;386.0;19.0;367.0;323.0
0200A;387.0;195.0;4.0;12.0;1064.0;604.0;22.0;582.0;460.0
00216;290.0;322.0;2.0;15.0;1186.0;632.0;20.0;612.0;554.0
00223;409.0;252.0;2.0;15.0;1190.0;695.0;35.0;661.0;495.0
00140;386.0;210.0;3.0;9.0;935.0;614.0;18.0;596.0;321.0
00158;253.0;401.0;7.0;10.0;1155.0;681.0;27.0;654.0;474.0
00164;226.0;311.0;7.0;10.0;1183.0;556.0;19.0;537.0;627.0
0193A;190.0;176.0;4.0;12.0;795.0;397.0;31.0;366.0;398.0
00194;199.0;224.0;4.0;12.0;863.0;446.0;23.0;423.0;417.0
00051;325.0;396.0;4.0;3.0;1231.0;746.0;25.0;721.0;485.0
00069;338.0;316.0;1.0;4.0;1090.0;667.0;13.0;654.0;423.0
00088;315.0;332.0;2.0;6.0;1122.0;669.0;22.0;647.0;453.0
00107;399.0;212.0;2.0;7.0;1019.0;624.0;13.0;611.0;395.0
00217;361.0;305.0;2.0;15.0;1275.0;706.0;40.0;666.0;569.0
00024;248.0;346.0;3.0;2.0;1061.0;603.0;9.0;594.0;458.0
0039A;219.0;308.0;4.0;3.0;938.0;556.0;29.0;527.0;382.0
00113;229.0;254.0;2.0;7.0;1030.0;510.0;27.0;483.0;520.0
00117;301.0;269.0;2.0;7.0;1119.0;596.0;26.0;570.0;523.0
00124;485.0;234.0;3.0;8.0;1082.0;735.0;16.0;719.0;347.0
0134A;430.0;337.0;3.0;9.0;1406.0;799.0;32.0;767.0;607.0
00170;238.0;239.0;7.0;11.0;819.0;496.0;19.0;477.0;323.0
0174A;319.0;213.0;7.0;11.0;1093.0;557.0;25.0;532.0;536.0
00196;387.0;324.0;4.0;12.0;1165.0;741.0;30.0;711.0;424.0
00199;175.0;83.0;4.0;12.0;503.0;274.0;16.0;258.0;229.0
0216A;284.0;236.0;2.0;15.0;1122.0;539.0;19.0;520.0;583.0
00222;375.0;322.0;2.0;15.0;1321.0;733.0;36.0;697.0;588.0
00011;413.0;275.0;4.0;1.0;1115.0;709.0;21.0;688.0;406.0
00035;184.0;395.0;4.0;3.0;1057.0;592.0;13.0;579.0;465.0
00062;246.0;297.0;1.0;4.0;1049.0;562.0;19.0;543.0;487.0
00063;160.0;185.0;1.0;4.0;806.0;363.0;18.0;345.0;443.0
00068;309.0;287.0;1.0;4.0;1002.0;629.0;33.0;596.0;373.0
00074;387.0;212.0;1.0;5.0;1060.0;615.0;16.0;599.0;445.0
00079;240.0;309.0;1.0;5.0;915.0;561.0;12.0;549.0;354.0
00141;357.0;229.0;3.0;9.0;957.0;605.0;19.0;586.0;352.0
00166;308.0;416.0;7.0;11.0;1147.0;748.0;24.0;724.0;399.0
00174;297.0;265.0;7.0;11.0;1101.0;587.0;25.0;562.0;514.0
00005;302.0;155.0;4.0;1.0;772.0;471.0;14.0;457.0;301.0
00010;291.0;262.0;4.0;1.0;979.0;567.0;14.0;553.0;412.0
00027;419.0;279.0;3.0;2.0;1122.0;709.0;11.0;698.0;413.0
0044A;271.0;297.0;4.0;3.0;1061.0;598.0;30.0;568.0;463.0
00049;171.0;278.0;4.0;3.0;759.0;471.0;22.0;449.0;288.0
00093;307.0;391.0;2.0;6.0;1248.0;733.0;35.0;698.0;515.0
00111;325.0;224.0;2.0;7.0;957.0;572.0;23.0;549.0;385.0
00129;269.0;256.0;3.0;8.0;990.0;549.0;24.0;525.0;441.0
00160;305.0;297.0;7.0;10.0;1056.0;620.0;18.0;602.0;436.0
0191A;149.0;197.0;4.0;12.0;925.0;360.0;14.0;346.0;565.0
00214;366.0;326.0;2.0;15.0;1312.0;725.0;33.0;692.0;587.0
00215;340.0;310.0;2.0;15.0;1373.0;697.0;47.0;650.0;676.0
0022A;343.0;316.0;3.0;2.0;1047.0;671.0;12.0;659.0;376.0
00072;242.0;291.0;1.0;5.0;1046.0;548.0;15.0;533.0;498.0
00076;233.0;315.0;1.0;5.0;1007.0;561.0;13.0;548.0;446.0
00122;504.0;181.0;3.0;8.0;1038.0;694.0;9.0;685.0;344.0
0144A;322.0;275.0;3.0;9.0;993.0;618.0;21.0;597.0;375.0
00149;281.0;369.0;7.0;10.0;1123.0;673.0;23.0;650.0;450.0
00203;246.0;185.0;1.0;13.0;848.0;446.0;15.0;431.0;402.0
00211;395.0;346.0;1.0;14.0;1377.0;769.0;28.0;741.0;608.0
00017;318.0;246.0;4.0;1.0;940.0;578.0;14.0;564.0;362.0
00082;266.0;250.0;1.0;5.0;976.0;529.0;13.0;516.0;447.0
00133;350.0;249.0;3.0;9.0;983.0;611.0;12.0;599.0;372.0
00147;267.0;355.0;7.0;9.0;1006.0;641.0;19.0;622.0;365.0
00169;223.0;182.0;7.0;11.0;953.0;425.0;20.0;405.0;528.0
00200;483.0;189.0;4.0;12.0;1192.0;701.0;29.0;672.0;491.0
